Imagen,Equipo
https://www.freepik.es/icono/usuario_8509167,Reclutas
https://static.wikia.nocookie.net/inazuma/images/e/e1/Raimon_FF_Emblema.png/revision/latest?cb=20210620190405&path-prefix=es,Raimon
https://static.wikia.nocookie.net/inazuma/images/5/52/Escudo_-_Royal_Academy_%28SD%29.png/revision/latest?cb=20231225133321&path-prefix=es,Royal Academy
https://static.wikia.nocookie.net/inazuma/images/4/4a/Escudo_-_Occult_%28SD%29.png/revision/latest?cb=20231220153417&path-prefix=es,Occult
https://static.wikia.nocookie.net/inazuma/images/9/92/Escudo_-_Wild_%28SD%29.png/revision/latest?cb=20240102131220&path-prefix=es,Wild
https://static.wikia.nocookie.net/inazuma/images/b/b7/Escudo_-_Brain_%28Strikers%29.png/revision/latest?cb=20240105135927&path-prefix=es,Brain
https://static.wikia.nocookie.net/inazuma/images/c/cc/Escudo_-_Otaku_%28SD%29.png/revision/latest?cb=20240107195534&path-prefix=es,Otaku
https://static.wikia.nocookie.net/inazuma/images/b/be/Escudo_-_Shuriken_%28SD%29.png/revision/latest?cb=20240110190201&path-prefix=es,Shuriken
https://static.wikia.nocookie.net/inazuma/images/8/88/Escudo_-_Farm_%28SD%29.png/revision/latest?cb=20240114155232&path-prefix=es,Farm
https://static.wikia.nocookie.net/inazuma/images/4/40/Escudo_-_Kirkwood_%28SD%29.png/revision/latest?cb=20240117213804&path-prefix=es,Kirwood
https://static.wikia.nocookie.net/inazuma/images/f/ff/Escudo_Zeus_FF.png/revision/latest?cb=20210620190427&path-prefix=es,Zeus
https://static.wikia.nocookie.net/inazuma/images/0/01/Escudo_-_Inazuma_Kids_FC_%28SD%29.png/revision/latest?cb=20241009131229&path-prefix=es,Inazuma Kids
https://static.wikia.nocookie.net/inazuma/images/b/bd/Escudo_-_Veteranos_del_Raimon_%28SD%29.png/revision/latest?cb=20240613190636&path-prefix=es,Veteranos Inazuma Eleven
https://static.wikia.nocookie.net/inazuma/images/9/96/Umbrella_Emblema.png/revision/latest?cb=20140909011811&path-prefix=es,Umbrella
https://static.wikia.nocookie.net/inazuma/images/a/a3/Sallys_Emblema.png/revision/latest?cb=20241015230151&path-prefix=es,Sallys
https://static.wikia.nocookie.net/inazuma/images/0/0f/Escudo_-_Tormenta_de_G%C3%A9minis_%28SD%29.png/revision/latest?cb=20240411153438&path-prefix=es,Tormenta de Geminis
https://static.wikia.nocookie.net/inazuma/images/3/3f/Escudo_-_Epsilon_%28SD%29.png/revision/latest?cb=20240419203422&path-prefix=es,Epsilon
https://static.wikia.nocookie.net/inazuma/images/8/89/Escudo_-_Prominence_%28SD%29.png/revision/latest?cb=20240430192701&path-prefix=es,Prominence
https://static.wikia.nocookie.net/inazuma/images/1/1c/Escudo_-_Polvo_de_Diamantes_%28SD%29.png/revision/latest?cb=20240502142202&path-prefix=es,Diamond
https://static.wikia.nocookie.net/inazuma/images/9/93/Escudo_G%C3%A9nesis_%28IE_HVR%29.png/revision/latest?cb=20240401112105&path-prefix=es,Genesis
https://static.wikia.nocookie.net/inazuma/images/5/55/Servicio_Secreto_Emblema_%28Ver._Europea%29.png/revision/latest?cb=20140913004341&path-prefix=es,Servicio Secreto
https://static.wikia.nocookie.net/inazuma/images/3/39/Escudo_-_Alpino_%28SD%29.png/revision/latest?cb=20240705144853&path-prefix=es,Alpino
https://static.wikia.nocookie.net/inazuma/images/8/81/Escudo_-_Claustro_Sagrado_%28SD%29.png/revision/latest?cb=20240710141503&path-prefix=es,Claustro Sagrado
https://static.wikia.nocookie.net/inazuma/images/2/2f/Escudo_-_Royal_Academy_Redux_%28SD%29.png/revision/latest?cb=20240610205852&path-prefix=es,Royal Academy Redux
https://static.wikia.nocookie.net/inazuma/images/8/82/Escudo_-_Triple_C_de_Osaka_%28SD%29.png/revision/latest?cb=20240712003410&path-prefix=es,CCC de Osaka
https://static.wikia.nocookie.net/inazuma/images/2/27/Escudo_-_Fauxshore_%28SD%29.png/revision/latest?cb=20240718102608&path-prefix=es,Fauxshore
https://static.wikia.nocookie.net/inazuma/images/2/21/Escudo_-_Mary_Times_%28SD%29.png/revision/latest?cb=20240718102605&path-prefix=es,Mary Times
https://static.wikia.nocookie.net/inazuma/images/6/61/Escudo_-_Emperadores_Oscuros_%28SD%29.png/revision/latest?cb=20240515150219&path-prefix=es,Emperadores Oscuros
https://static.wikia.nocookie.net/inazuma/images/7/73/Mar_de_%C3%81rboles_Emblema.png/revision/latest?cb=20140920012341&path-prefix=es,Mar de Arboles
https://static.wikia.nocookie.net/inazuma/images/2/23/J%C3%B3venes_Inazuma_Emblema.png/revision/latest?cb=20140908012129&path-prefix=es,Jovenes Inazuma
https://static.wikia.nocookie.net/inazuma/images/b/b5/Escudo_-_Inazuma_Jap%C3%B3n.png/revision/latest?cb=20221028205856&path-prefix=es,Inazuma Japon
https://static.wikia.nocookie.net/inazuma/images/7/70/Neo_Jap%C3%B3n_Emblema.png/revision/latest?cb=20240807130426&path-prefix=es,Neo Japon
https://static.wikia.nocookie.net/inazuma/images/8/88/Escudo_-_Big_Waves_%28SD%29.png/revision/latest?cb=20240725160820&path-prefix=es,Big Waves
https://static.wikia.nocookie.net/inazuma/images/d/d9/Leones_del_Desierto_Emblema.png/revision/latest?cb=20240906141235&path-prefix=es,Leones del Desierto
https://static.wikia.nocookie.net/inazuma/images/8/87/Escudo_-_Dragones_de_Fuego_%28Strikers%29.png/revision/latest?cb=20240815214436&path-prefix=es,Dragones de Fuego
https://static.wikia.nocookie.net/inazuma/images/7/7f/Escudo_-_Knights_of_Queen.png/revision/latest?cb=20240822141418&path-prefix=es,Knights of Queen
https://static.wikia.nocookie.net/inazuma/images/b/ba/Equipo_D_Emblema.png/revision/latest?cb=20140930205916&path-prefix=es,Equipo D
